,Date,Country,Confirmed,Confirmed per 100k,New Cases,New Cases per 100k,Deaths,Deaths per 100k,New Deaths,New Deaths per 100k
0,2020-01-01,Austria,0,0.0,0,0.0,0,0.0,0,0.0
1,2020-01-02,Austria,0,0.0,0,0.0,0,0.0,0,0.0
2,2020-01-03,Austria,0,0.0,0,0.0,0,0.0,0,0.0
3,2020-01-04,Austria,0,0.0,0,0.0,0,0.0,0,0.0
4,2020-01-05,Austria,0,0.0,0,0.0,0,0.0,0,0.0
5,2020-01-06,Austria,0,0.0,0,0.0,0,0.0,0,0.0
6,2020-01-07,Austria,0,0.0,0,0.0,0,0.0,0,0.0
7,2020-01-08,Austria,0,0.0,0,0.0,0,0.0,0,0.0
8,2020-01-09,Austria,0,0.0,0,0.0,0,0.0,0,0.0
9,2020-01-10,Austria,0,0.0,0,0.0,0,0.0,0,0.0
10,2020-01-11,Austria,0,0.0,0,0.0,0,0.0,0,0.0
11,2020-01-12,Austria,0,0.0,0,0.0,0,0.0,0,0.0
12,2020-01-13,Austria,0,0.0,0,0.0,0,0.0,0,0.0
13,2020-01-14,Austria,0,0.0,0,0.0,0,0.0,0,0.0
14,2020-01-15,Austria,0,0.0,0,0.0,0,0.0,0,0.0
15,2020-01-16,Austria,0,0.0,0,0.0,0,0.0,0,0.0
16,2020-01-17,Austria,0,0.0,0,0.0,0,0.0,0,0.0
17,2020-01-18,Austria,0,0.0,0,0.0,0,0.0,0,0.0
18,2020-01-19,Austria,0,0.0,0,0.0,0,0.0,0,0.0
19,2020-01-20,Austria,0,0.0,0,0.0,0,0.0,0,0.0
20,2020-01-21,Austria,0,0.0,0,0.0,0,0.0,0,0.0
21,2020-01-22,Austria,0,0.0,0,0.0,0,0.0,0,0.0
22,2020-01-23,Austria,0,0.0,0,0.0,0,0.0,0,0.0
23,2020-01-24,Austria,0,0.0,0,0.0,0,0.0,0,0.0
24,2020-01-25,Austria,0,0.0,0,0.0,0,0.0,0,0.0
25,2020-01-26,Austria,0,0.0,0,0.0,0,0.0,0,0.0
26,2020-01-27,Austria,0,0.0,0,0.0,0,0.0,0,0.0
27,2020-01-28,Austria,0,0.0,0,0.0,0,0.0,0,0.0
28,2020-01-29,Austria,0,0.0,0,0.0,0,0.0,0,0.0
29,2020-01-30,Austria,0,0.0,0,0.0,0,0.0,0,0.0
30,2020-01-31,Austria,0,0.0,0,0.0,0,0.0,0,0.0
31,2020-02-01,Austria,0,0.0,0,0.0,0,0.0,0,0.0
32,2020-02-02,Austria,0,0.0,0,0.0,0,0.0,0,0.0
33,2020-02-03,Austria,0,0.0,0,0.0,0,0.0,0,0.0
34,2020-02-04,Austria,0,0.0,0,0.0,0,0.0,0,0.0
35,2020-02-05,Austria,0,0.0,0,0.0,0,0.0,0,0.0
36,2020-02-06,Austria,0,0.0,0,0.0,0,0.0,0,0.0
37,2020-02-07,Austria,0,0.0,0,0.0,0,0.0,0,0.0
38,2020-02-08,Austria,0,0.0,0,0.0,0,0.0,0,0.0
39,2020-02-09,Austria,0,0.0,0,0.0,0,0.0,0,0.0
40,2020-02-10,Austria,0,0.0,0,0.0,0,0.0,0,0.0
41,2020-02-11,Austria,0,0.0,0,0.0,0,0.0,0,0.0
42,2020-02-12,Austria,0,0.0,0,0.0,0,0.0,0,0.0
43,2020-02-13,Austria,0,0.0,0,0.0,0,0.0,0,0.0
44,2020-02-14,Austria,0,0.0,0,0.0,0,0.0,0,0.0
45,2020-02-15,Austria,0,0.0,0,0.0,0,0.0,0,0.0
46,2020-02-16,Austria,0,0.0,0,0.0,0,0.0,0,0.0
47,2020-02-17,Austria,0,0.0,0,0.0,0,0.0,0,0.0
48,2020-02-18,Austria,0,0.0,0,0.0,0,0.0,0,0.0
49,2020-02-19,Austria,0,0.0,0,0.0,0,0.0,0,0.0
50,2020-02-20,Austria,0,0.0,0,0.0,0,0.0,0,0.0
51,2020-02-21,Austria,0,0.0,0,0.0,0,0.0,0,0.0
52,2020-02-22,Austria,0,0.0,0,0.0,0,0.0,0,0.0
53,2020-02-23,Austria,0,0.0,0,0.0,0,0.0,0,0.0
54,2020-02-24,Austria,0,0.0,0,0.0,0,0.0,0,0.0
55,2020-02-25,Austria,2,0.02,2,0.02,0,0.0,0,0.0
56,2020-02-26,Austria,2,0.02,0,0.0,0,0.0,0,0.0
57,2020-02-27,Austria,3,0.03,1,0.01,0,0.0,0,0.0
58,2020-02-28,Austria,3,0.03,0,0.0,0,0.0,0,0.0
59,2020-02-29,Austria,9,0.1,6,0.07,0,0.0,0,0.0
60,2020-03-01,Austria,14,0.16,5,0.06,0,0.0,0,0.0
61,2020-03-02,Austria,18,0.2,4,0.05,0,0.0,0,0.0
62,2020-03-03,Austria,21,0.24,3,0.03,0,0.0,0,0.0
63,2020-03-04,Austria,29,0.33,8,0.09,0,0.0,0,0.0
64,2020-03-05,Austria,41,0.46,12,0.14,0,0.0,0,0.0
65,2020-03-06,Austria,55,0.62,14,0.16,0,0.0,0,0.0
66,2020-03-07,Austria,79,0.89,24,0.27,0,0.0,0,0.0
67,2020-03-08,Austria,104,1.17,25,0.28,0,0.0,0,0.0
68,2020-03-09,Austria,131,1.48,27,0.3,0,0.0,0,0.0
69,2020-03-10,Austria,182,2.05,51,0.58,0,0.0,0,0.0
70,2020-03-11,Austria,246,2.78,64,0.72,0,0.0,0,0.0
71,2020-03-12,Austria,302,3.41,56,0.63,1,0.01,1,0.01
72,2020-03-13,Austria,504,5.69,202,2.28,1,0.01,0,0.0
73,2020-03-14,Austria,655,7.39,151,1.7,1,0.01,0,0.0
74,2020-03-15,Austria,860,9.71,205,2.31,1,0.01,0,0.0
75,2020-03-16,Austria,1018,11.49,158,1.78,3,0.03,2,0.02
76,2020-03-17,Austria,1332,15.04,314,3.54,3,0.03,0,0.0
77,2020-03-18,Austria,1646,18.58,314,3.54,4,0.05,1,0.01
78,2020-03-19,Austria,2013,22.73,367,4.14,6,0.07,2,0.02
79,2020-03-20,Austria,2388,26.96,375,4.23,6,0.07,0,0.0
80,2020-03-21,Austria,2814,31.77,426,4.81,8,0.09,2,0.02
81,2020-03-22,Austria,3582,40.44,768,8.67,16,0.18,8,0.09
82,2020-03-23,Austria,4474,50.51,892,10.07,21,0.24,5,0.06
83,2020-03-24,Austria,5283,59.64,809,9.13,28,0.32,7,0.08
84,2020-03-25,Austria,5588,63.08,305,3.44,30,0.34,2,0.02
85,2020-03-26,Austria,6909,78.0,1321,14.91,49,0.55,19,0.21
86,2020-03-27,Austria,7657,86.44,748,8.44,58,0.65,9,0.1
87,2020-03-28,Austria,8271,93.37,614,6.93,68,0.77,10,0.11
88,2020-03-29,Austria,8788,99.21,517,5.84,86,0.97,18,0.2
89,2020-03-30,Austria,9618,108.58,830,9.37,108,1.22,22,0.25
90,2020-03-31,Austria,10180,114.92,562,6.34,128,1.45,20,0.23
91,2020-04-01,Austria,10711,120.92,531,5.99,146,1.65,18,0.2
92,2020-04-02,Austria,11129,125.64,418,4.72,158,1.78,12,0.14
93,2020-04-03,Austria,11524,130.1,395,4.46,168,1.9,10,0.11
94,2020-04-04,Austria,11781,133.0,257,2.9,186,2.1,18,0.2
95,2020-04-05,Austria,12051,136.05,270,3.05,204,2.3,18,0.2
96,2020-04-06,Austria,12297,138.82,246,2.78,220,2.48,16,0.18
97,2020-04-07,Austria,12639,142.69,342,3.86,243,2.74,23,0.26
98,2020-04-08,Austria,12942,146.11,303,3.42,273,3.08,30,0.34
99,2020-04-09,Austria,13244,149.52,302,3.41,295,3.33,22,0.25
100,2020-04-10,Austria,13555,153.03,311,3.51,319,3.6,24,0.27
101,2020-04-11,Austria,13806,155.86,251,2.83,337,3.8,18,0.2
102,2020-04-12,Austria,13945,157.43,139,1.57,350,3.95,13,0.15
103,2020-04-13,Austria,14041,158.51,96,1.08,368,4.15,18,0.2
104,2020-04-14,Austria,14226,160.6,185,2.09,384,4.34,16,0.18
105,2020-04-15,Austria,14336,161.84,110,1.24,393,4.44,9,0.1
106,2020-04-16,Austria,14476,163.42,140,1.58,410,4.63,17,0.19
107,2020-04-17,Austria,14595,164.77,119,1.34,431,4.87,21,0.24
108,2020-04-18,Austria,14671,165.63,76,0.86,443,5.0,12,0.14
109,2020-04-19,Austria,14749,166.51,78,0.88,452,5.1,9,0.1
110,2020-04-20,Austria,14795,167.02,46,0.52,470,5.31,18,0.2
111,2020-04-21,Austria,14873,167.91,78,0.88,491,5.54,21,0.24
112,2020-04-22,Austria,14925,168.49,52,0.59,510,5.76,19,0.21
113,2020-04-23,Austria,15002,169.36,77,0.87,522,5.89,12,0.14
114,2020-04-24,Austria,15071,170.14,69,0.78,530,5.98,8,0.09
115,2020-04-25,Austria,15148,171.01,77,0.87,536,6.05,6,0.07
116,2020-04-26,Austria,15225,171.88,77,0.87,542,6.12,6,0.07
117,2020-04-27,Austria,15274,172.43,49,0.55,549,6.2,7,0.08
118,2020-04-28,Austria,15357,173.37,83,0.94,569,6.42,20,0.23
119,2020-04-29,Austria,15402,173.88,45,0.51,580,6.55,11,0.12
120,2020-04-30,Austria,15452,174.44,50,0.56,584,6.59,4,0.05
121,2020-05-01,Austria,15531,175.33,79,0.89,589,6.65,5,0.06
122,2020-05-02,Austria,15558,175.64,27,0.3,596,6.73,7,0.08
123,2020-05-03,Austria,15597,176.08,39,0.44,598,6.75,2,0.02
124,2020-05-04,Austria,15621,176.35,24,0.27,600,6.77,2,0.02
125,2020-05-05,Austria,15650,176.68,29,0.33,606,6.84,6,0.07
126,2020-05-06,Austria,15684,177.06,34,0.38,608,6.86,2,0.02
127,2020-05-07,Austria,15752,177.83,68,0.77,609,6.88,1,0.01
128,2020-05-08,Austria,15774,178.08,22,0.25,614,6.93,5,0.06
129,2020-05-09,Austria,15833,178.74,59,0.67,615,6.94,1,0.01
130,2020-05-10,Austria,15871,179.17,38,0.43,618,6.98,3,0.03
131,2020-05-11,Austria,15882,179.3,11,0.12,620,7.0,2,0.02
132,2020-05-12,Austria,15961,180.19,79,0.89,623,7.03,3,0.03
133,2020-05-13,Austria,15997,180.59,36,0.41,624,7.04,1,0.01
134,2020-05-14,Austria,16058,181.28,61,0.69,626,7.07,2,0.02
135,2020-05-15,Austria,16109,181.86,51,0.58,628,7.09,2,0.02
136,2020-05-16,Austria,16201,182.9,92,1.04,629,7.1,1,0.01
137,2020-05-17,Austria,16242,183.36,41,0.46,629,7.1,0,0.0
138,2020-05-18,Austria,16269,183.67,27,0.3,629,7.1,0,0.0
139,2020-05-19,Austria,16321,184.25,52,0.59,632,7.13,3,0.03
140,2020-05-20,Austria,16353,184.61,32,0.36,633,7.15,1,0.01
141,2020-05-21,Austria,16404,185.19,51,0.58,633,7.15,0,0.0
142,2020-05-22,Austria,16436,185.55,32,0.36,635,7.17,2,0.02
143,2020-05-23,Austria,16486,186.12,50,0.56,639,7.21,4,0.05
144,2020-05-24,Austria,16503,186.31,17,0.19,640,7.23,1,0.01
145,2020-05-25,Austria,16539,186.71,36,0.41,641,7.24,1,0.01
146,2020-05-26,Austria,16557,186.92,18,0.2,643,7.26,2,0.02
147,2020-05-27,Austria,16591,187.3,34,0.38,645,7.28,2,0.02
148,2020-05-28,Austria,16628,187.72,37,0.42,668,7.54,23,0.26
149,2020-05-29,Austria,16655,188.02,27,0.3,668,7.54,0,0.0
150,2020-05-30,Austria,16685,188.36,30,0.34,668,7.54,0,0.0
151,2020-05-31,Austria,16731,188.88,46,0.52,668,7.54,0,0.0
152,2020-06-01,Austria,16733,188.9,2,0.02,668,7.54,0,0.0
153,2020-06-02,Austria,16759,189.2,26,0.29,669,7.55,1,0.01
154,2020-06-03,Austria,16771,189.33,12,0.14,670,7.56,1,0.01
155,2020-06-04,Austria,16805,189.72,34,0.38,670,7.56,0,0.0
156,2020-06-05,Austria,16843,190.15,38,0.43,672,7.59,2,0.02
157,2020-06-06,Austria,16898,190.77,55,0.62,672,7.59,0,0.0
158,2020-06-07,Austria,16902,190.81,4,0.05,672,7.59,0,0.0
159,2020-06-08,Austria,16968,191.56,66,0.75,672,7.59,0,0.0
160,2020-06-09,Austria,16979,191.68,11,0.12,672,7.59,0,0.0
161,2020-06-10,Austria,17005,191.97,26,0.29,673,7.6,1,0.01
162,2020-06-11,Austria,17034,192.3,29,0.33,674,7.61,1,0.01
163,2020-06-12,Austria,17064,192.64,30,0.34,675,7.62,1,0.01
164,2020-06-13,Austria,17078,192.8,14,0.16,677,7.64,2,0.02
165,2020-06-14,Austria,17109,193.15,31,0.35,677,7.64,0,0.0
166,2020-06-15,Austria,17135,193.44,26,0.29,678,7.65,1,0.01
167,2020-06-16,Austria,17189,194.05,54,0.61,681,7.69,3,0.03
168,2020-06-17,Austria,17203,194.21,14,0.16,687,7.76,6,0.07
169,2020-06-18,Austria,17223,194.44,20,0.23,688,7.77,1,0.01
170,2020-06-19,Austria,17271,194.98,48,0.54,688,7.77,0,0.0
171,2020-06-20,Austria,17323,195.56,52,0.59,688,7.77,0,0.0
172,2020-06-21,Austria,17341,195.77,18,0.2,690,7.79,2,0.02
173,2020-06-22,Austria,17380,196.21,39,0.44,690,7.79,0,0.0
174,2020-06-23,Austria,17408,196.52,28,0.32,693,7.82,3,0.03
175,2020-06-24,Austria,17449,196.99,41,0.46,693,7.82,0,0.0
176,2020-06-25,Austria,17477,197.3,28,0.32,698,7.88,5,0.06
177,2020-06-26,Austria,17522,197.81,45,0.51,698,7.88,0,0.0
178,2020-06-27,Austria,17580,198.47,58,0.65,700,7.9,2,0.02
179,2020-06-28,Austria,17654,199.3,74,0.84,702,7.93,2,0.02
180,2020-06-29,Austria,17723,200.08,69,0.78,703,7.94,1,0.01
181,2020-06-30,Austria,17766,200.57,43,0.49,705,7.96,2,0.02
182,2020-07-01,Austria,17873,201.77,107,1.21,705,7.96,0,0.0
183,2020-07-02,Austria,17941,202.54,68,0.77,705,7.96,0,0.0
184,2020-07-03,Austria,18050,203.77,109,1.23,705,7.96,0,0.0
185,2020-07-04,Austria,18165,205.07,115,1.3,705,7.96,0,0.0
186,2020-07-05,Austria,18280,206.37,115,1.3,706,7.97,1,0.01
187,2020-07-06,Austria,18365,207.33,85,0.96,706,7.97,0,0.0
188,2020-07-07,Austria,18421,207.96,56,0.63,706,7.97,0,0.0
189,2020-07-08,Austria,18513,209.0,92,1.04,706,7.97,0,0.0
190,2020-07-09,Austria,18615,210.15,102,1.15,706,7.97,0,0.0
191,2020-07-10,Austria,18709,211.21,94,1.06,706,7.97,0,0.0
192,2020-07-11,Austria,18783,212.05,74,0.84,706,7.97,0,0.0
193,2020-07-12,Austria,18897,213.33,114,1.29,708,7.99,2,0.02
194,2020-07-13,Austria,18948,213.91,51,0.58,708,7.99,0,0.0
195,2020-07-14,Austria,19021,214.73,73,0.82,709,8.0,1,0.01
196,2020-07-15,Austria,19154,216.23,133,1.5,710,8.02,1,0.01
197,2020-07-16,Austria,19270,217.54,116,1.31,711,8.03,1,0.01
198,2020-07-17,Austria,19439,219.45,169,1.91,711,8.03,0,0.0
199,2020-07-18,Austria,19573,220.97,134,1.51,711,8.03,0,0.0
200,2020-07-19,Austria,19655,221.89,82,0.93,711,8.03,0,0.0
201,2020-07-20,Austria,19743,222.88,88,0.99,711,8.03,0,0.0
202,2020-07-21,Austria,19827,223.83,84,0.95,710,8.02,-1,-0.01
203,2020-07-22,Austria,19929,224.98,102,1.15,711,8.03,1,0.01
204,2020-07-23,Austria,20099,226.9,170,1.92,711,8.03,0,0.0
205,2020-07-24,Austria,20214,228.2,115,1.3,711,8.03,0,0.0
206,2020-07-25,Austria,20338,229.6,124,1.4,712,8.04,1,0.01
207,2020-07-26,Austria,20472,231.11,134,1.51,712,8.04,0,0.0
208,2020-07-27,Austria,20558,232.09,86,0.97,713,8.05,1,0.01
209,2020-07-28,Austria,20677,233.43,119,1.34,713,8.05,0,0.0
210,2020-07-29,Austria,20850,235.38,173,1.95,716,8.08,3,0.03
211,2020-07-30,Austria,20955,236.57,105,1.19,718,8.11,2,0.02
212,2020-07-31,Austria,21130,238.54,175,1.98,718,8.11,0,0.0
213,2020-08-01,Austria,21212,239.47,82,0.93,718,8.11,0,0.0
214,2020-08-02,Austria,21304,240.51,92,1.04,718,8.11,0,0.0
215,2020-08-03,Austria,21385,241.42,81,0.91,718,8.11,0,0.0
216,2020-08-04,Austria,21481,242.51,96,1.08,719,8.12,1,0.01
217,2020-08-05,Austria,21566,243.46,85,0.96,719,8.12,0,0.0
218,2020-08-06,Austria,21696,244.93,130,1.47,719,8.12,0,0.0
219,2020-08-07,Austria,21837,246.52,141,1.59,720,8.13,1,0.01
220,2020-08-08,Austria,21919,247.45,82,0.93,721,8.14,1,0.01
221,2020-08-09,Austria,22033,248.74,114,1.29,721,8.14,0,0.0
222,2020-08-10,Austria,22106,249.56,73,0.82,723,8.16,2,0.02
223,2020-08-11,Austria,22245,251.13,139,1.57,723,8.16,0,0.0
224,2020-08-12,Austria,22439,253.32,194,2.19,724,8.17,1,0.01
225,2020-08-13,Austria,22594,255.07,155,1.75,725,8.18,1,0.01
226,2020-08-14,Austria,22876,258.25,282,3.18,725,8.18,0,0.0
227,2020-08-15,Austria,23179,261.67,303,3.42,728,8.22,3,0.03
228,2020-08-16,Austria,23370,263.83,191,2.16,728,8.22,0,0.0
229,2020-08-17,Austria,23534,265.68,164,1.85,729,8.23,1,0.01
230,2020-08-18,Austria,23829,269.01,295,3.33,729,8.23,0,0.0
231,2020-08-19,Austria,24084,271.89,255,2.88,729,8.23,0,0.0
232,2020-08-20,Austria,24431,275.81,347,3.92,729,8.23,0,0.0
233,2020-08-21,Austria,24762,279.55,331,3.74,730,8.24,1,0.01
234,2020-08-22,Austria,25062,282.93,300,3.39,732,8.26,2,0.02
235,2020-08-23,Austria,25253,285.09,191,2.16,732,8.26,0,0.0
236,2020-08-24,Austria,25495,287.82,242,2.73,733,8.28,1,0.01
237,2020-08-25,Austria,25706,290.2,211,2.38,733,8.28,0,0.0
238,2020-08-26,Austria,26033,293.89,327,3.69,733,8.28,0,0.0
239,2020-08-27,Austria,26361,297.6,328,3.7,733,8.28,0,0.0
240,2020-08-28,Austria,26590,300.18,229,2.59,733,8.28,0,0.0
241,2020-08-29,Austria,26985,304.64,395,4.46,733,8.28,0,0.0
242,2020-08-30,Austria,27166,306.68,181,2.04,733,8.28,0,0.0
243,2020-08-31,Austria,27438,309.76,272,3.07,733,8.28,0,0.0
244,2020-09-01,Austria,27642,312.06,204,2.3,734,8.29,1,0.01
245,2020-09-02,Austria,27969,315.75,327,3.69,734,8.29,0,0.0
246,2020-09-03,Austria,28372,320.3,403,4.55,735,8.3,1,0.01
247,2020-09-04,Austria,28729,324.33,357,4.03,735,8.3,0,0.0
248,2020-09-05,Austria,29087,328.37,358,4.04,735,8.3,0,0.0
249,2020-09-06,Austria,29271,330.45,184,2.08,736,8.31,1,0.01
250,2020-09-07,Austria,29561,333.72,290,3.27,746,8.42,10,0.11
251,2020-09-08,Austria,30081,339.59,520,5.87,747,8.43,1,0.01
252,2020-09-09,Austria,30583,345.26,502,5.67,747,8.43,0,0.0
253,2020-09-10,Austria,31247,352.76,664,7.5,748,8.44,1,0.01
254,2020-09-11,Austria,31827,359.3,580,6.55,750,8.47,2,0.02
255,2020-09-12,Austria,32696,369.11,869,9.81,754,8.51,4,0.05
256,2020-09-13,Austria,33159,374.34,463,5.23,756,8.53,2,0.02
257,2020-09-14,Austria,33541,378.65,382,4.31,757,8.55,1,0.01
258,2020-09-15,Austria,34305,387.28,764,8.63,757,8.55,0,0.0
259,2020-09-16,Austria,35073,395.95,768,8.67,758,8.56,1,0.01
260,2020-09-17,Austria,35853,404.75,780,8.81,758,8.56,0,0.0
261,2020-09-18,Austria,36661,413.88,808,9.12,763,8.61,5,0.06
262,2020-09-19,Austria,37474,423.05,813,9.18,765,8.64,2,0.02
263,2020-09-20,Austria,38095,430.07,621,7.01,766,8.65,1,0.01
264,2020-09-21,Austria,38658,436.42,563,6.36,767,8.66,1,0.01
265,2020-09-22,Austria,39303,443.7,645,7.28,771,8.7,4,0.05
266,2020-09-23,Austria,39984,451.39,681,7.69,777,8.77,6,0.07
267,2020-09-24,Austria,40816,460.78,832,9.39,783,8.84,6,0.07
268,2020-09-25,Austria,41500,468.51,684,7.72,786,8.87,3,0.03
269,2020-09-26,Austria,42214,476.57,714,8.06,787,8.88,1,0.01
270,2020-09-27,Austria,42876,484.04,662,7.47,787,8.88,0,0.0
271,2020-09-28,Austria,43432,490.32,556,6.28,790,8.92,3,0.03
