,Date,Country,Confirmed,Confirmed per 100k,New Cases,New Cases per 100k,Deaths,Deaths per 100k,New Deaths,New Deaths per 100k
0,2020-01-01,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
1,2020-01-02,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
2,2020-01-03,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
3,2020-01-04,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
4,2020-01-05,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
5,2020-01-06,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
6,2020-01-07,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
7,2020-01-08,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
8,2020-01-09,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
9,2020-01-10,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
10,2020-01-11,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
11,2020-01-12,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
12,2020-01-13,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
13,2020-01-14,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
14,2020-01-15,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
15,2020-01-16,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
16,2020-01-17,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
17,2020-01-18,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
18,2020-01-19,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
19,2020-01-20,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
20,2020-01-21,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
21,2020-01-22,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
22,2020-01-23,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
23,2020-01-24,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
24,2020-01-25,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
25,2020-01-26,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
26,2020-01-27,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
27,2020-01-28,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
28,2020-01-29,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
29,2020-01-30,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
30,2020-01-31,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
31,2020-02-01,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
32,2020-02-02,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
33,2020-02-03,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
34,2020-02-04,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
35,2020-02-05,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
36,2020-02-06,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
37,2020-02-07,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
38,2020-02-08,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
39,2020-02-09,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
40,2020-02-10,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
41,2020-02-11,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
42,2020-02-12,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
43,2020-02-13,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
44,2020-02-14,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
45,2020-02-15,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
46,2020-02-16,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
47,2020-02-17,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
48,2020-02-18,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
49,2020-02-19,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
50,2020-02-20,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
51,2020-02-21,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
52,2020-02-22,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
53,2020-02-23,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
54,2020-02-24,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
55,2020-02-25,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
56,2020-02-26,Denmark,0,0.0,0,0.0,0,0.0,0,0.0
57,2020-02-27,Denmark,1,0.02,1,0.02,0,0.0,0,0.0
58,2020-02-28,Denmark,1,0.02,0,0.0,0,0.0,0,0.0
59,2020-02-29,Denmark,3,0.05,2,0.03,0,0.0,0,0.0
60,2020-03-01,Denmark,4,0.07,1,0.02,0,0.0,0,0.0
61,2020-03-02,Denmark,4,0.07,0,0.0,0,0.0,0,0.0
62,2020-03-03,Denmark,6,0.1,2,0.03,0,0.0,0,0.0
63,2020-03-04,Denmark,11,0.19,5,0.09,0,0.0,0,0.0
64,2020-03-05,Denmark,11,0.19,0,0.0,0,0.0,0,0.0
65,2020-03-06,Denmark,24,0.41,13,0.22,0,0.0,0,0.0
66,2020-03-07,Denmark,24,0.41,0,0.0,0,0.0,0,0.0
67,2020-03-08,Denmark,37,0.63,13,0.22,0,0.0,0,0.0
68,2020-03-09,Denmark,92,1.58,55,0.94,0,0.0,0,0.0
69,2020-03-10,Denmark,264,4.52,172,2.95,0,0.0,0,0.0
70,2020-03-11,Denmark,444,7.61,180,3.08,0,0.0,0,0.0
71,2020-03-12,Denmark,617,10.57,173,2.96,0,0.0,0,0.0
72,2020-03-13,Denmark,804,13.77,187,3.2,0,0.0,0,0.0
73,2020-03-14,Denmark,836,14.32,32,0.55,1,0.02,1,0.02
74,2020-03-15,Denmark,875,14.99,39,0.67,2,0.03,1,0.02
75,2020-03-16,Denmark,933,15.98,58,0.99,3,0.05,1,0.02
76,2020-03-17,Denmark,1025,17.56,92,1.58,4,0.07,1,0.02
77,2020-03-18,Denmark,1116,19.12,91,1.56,4,0.07,0,0.0
78,2020-03-19,Denmark,1225,20.99,109,1.87,6,0.1,2,0.03
79,2020-03-20,Denmark,1337,22.9,112,1.92,9,0.15,3,0.05
80,2020-03-21,Denmark,1420,24.33,83,1.42,13,0.22,4,0.07
81,2020-03-22,Denmark,1514,25.94,94,1.61,13,0.22,0,0.0
82,2020-03-23,Denmark,1572,26.93,58,0.99,24,0.41,11,0.19
83,2020-03-24,Denmark,1718,29.43,146,2.5,32,0.55,8,0.14
84,2020-03-25,Denmark,1862,31.9,144,2.47,34,0.58,2,0.03
85,2020-03-26,Denmark,2023,34.66,161,2.76,41,0.7,7,0.12
86,2020-03-27,Denmark,2200,37.69,177,3.03,52,0.89,11,0.19
87,2020-03-28,Denmark,2366,40.53,166,2.84,65,1.11,13,0.22
88,2020-03-29,Denmark,2564,43.93,198,3.39,72,1.23,7,0.12
89,2020-03-30,Denmark,2755,47.2,191,3.27,77,1.32,5,0.09
90,2020-03-31,Denmark,3039,52.06,284,4.87,90,1.54,13,0.22
91,2020-04-01,Denmark,3290,56.36,251,4.3,104,1.78,14,0.24
92,2020-04-02,Denmark,3573,61.21,283,4.85,123,2.11,19,0.33
93,2020-04-03,Denmark,3946,67.6,373,6.39,139,2.38,16,0.27
94,2020-04-04,Denmark,4269,73.13,323,5.53,161,2.76,22,0.38
95,2020-04-05,Denmark,4561,78.14,292,5.0,179,3.07,18,0.31
96,2020-04-06,Denmark,4875,83.52,314,5.38,187,3.2,8,0.14
97,2020-04-07,Denmark,5266,90.21,391,6.7,203,3.48,16,0.27
98,2020-04-08,Denmark,5597,95.88,331,5.67,218,3.73,15,0.26
99,2020-04-09,Denmark,5830,99.88,233,3.99,237,4.06,19,0.33
100,2020-04-10,Denmark,6014,103.03,184,3.15,247,4.23,10,0.17
101,2020-04-11,Denmark,6191,106.06,177,3.03,260,4.45,13,0.22
102,2020-04-12,Denmark,6369,109.11,178,3.05,273,4.68,13,0.22
103,2020-04-13,Denmark,6513,111.58,144,2.47,285,4.88,12,0.21
104,2020-04-14,Denmark,6706,114.88,193,3.31,299,5.12,14,0.24
105,2020-04-15,Denmark,6876,117.8,170,2.91,309,5.29,10,0.17
106,2020-04-16,Denmark,7074,121.19,198,3.39,321,5.5,12,0.21
107,2020-04-17,Denmark,7268,124.51,194,3.32,336,5.76,15,0.26
108,2020-04-18,Denmark,7437,127.41,169,2.9,346,5.93,10,0.17
109,2020-04-19,Denmark,7580,129.86,143,2.45,355,6.08,9,0.15
110,2020-04-20,Denmark,7711,132.1,131,2.24,364,6.24,9,0.15
111,2020-04-21,Denmark,7891,135.18,180,3.08,370,6.34,6,0.1
112,2020-04-22,Denmark,8108,138.9,217,3.72,384,6.58,14,0.24
