,Date,Country,Confirmed,Confirmed per 100k,New Cases,New Cases per 100k,Deaths,Deaths per 100k,New Deaths,New Deaths per 100k
0,2020-01-01,France,0,0.0,0,0.0,0,0.0,0,0.0
1,2020-01-02,France,0,0.0,0,0.0,0,0.0,0,0.0
2,2020-01-03,France,0,0.0,0,0.0,0,0.0,0,0.0
3,2020-01-04,France,0,0.0,0,0.0,0,0.0,0,0.0
4,2020-01-05,France,0,0.0,0,0.0,0,0.0,0,0.0
5,2020-01-06,France,0,0.0,0,0.0,0,0.0,0,0.0
6,2020-01-07,France,0,0.0,0,0.0,0,0.0,0,0.0
7,2020-01-08,France,0,0.0,0,0.0,0,0.0,0,0.0
8,2020-01-09,France,0,0.0,0,0.0,0,0.0,0,0.0
9,2020-01-10,France,0,0.0,0,0.0,0,0.0,0,0.0
10,2020-01-11,France,0,0.0,0,0.0,0,0.0,0,0.0
11,2020-01-12,France,0,0.0,0,0.0,0,0.0,0,0.0
12,2020-01-13,France,0,0.0,0,0.0,0,0.0,0,0.0
13,2020-01-14,France,0,0.0,0,0.0,0,0.0,0,0.0
14,2020-01-15,France,0,0.0,0,0.0,0,0.0,0,0.0
15,2020-01-16,France,0,0.0,0,0.0,0,0.0,0,0.0
16,2020-01-17,France,0,0.0,0,0.0,0,0.0,0,0.0
17,2020-01-18,France,0,0.0,0,0.0,0,0.0,0,0.0
18,2020-01-19,France,0,0.0,0,0.0,0,0.0,0,0.0
19,2020-01-20,France,0,0.0,0,0.0,0,0.0,0,0.0
20,2020-01-21,France,0,0.0,0,0.0,0,0.0,0,0.0
21,2020-01-22,France,0,0.0,0,0.0,0,0.0,0,0.0
22,2020-01-23,France,0,0.0,0,0.0,0,0.0,0,0.0
23,2020-01-24,France,2,0.0,2,0.0,0,0.0,0,0.0
24,2020-01-25,France,3,0.0,1,0.0,0,0.0,0,0.0
25,2020-01-26,France,3,0.0,0,0.0,0,0.0,0,0.0
26,2020-01-27,France,3,0.0,0,0.0,0,0.0,0,0.0
27,2020-01-28,France,4,0.01,1,0.0,0,0.0,0,0.0
28,2020-01-29,France,5,0.01,1,0.0,0,0.0,0,0.0
29,2020-01-30,France,5,0.01,0,0.0,0,0.0,0,0.0
30,2020-01-31,France,5,0.01,0,0.0,0,0.0,0,0.0
31,2020-02-01,France,6,0.01,1,0.0,0,0.0,0,0.0
32,2020-02-02,France,6,0.01,0,0.0,0,0.0,0,0.0
33,2020-02-03,France,6,0.01,0,0.0,0,0.0,0,0.0
34,2020-02-04,France,6,0.01,0,0.0,0,0.0,0,0.0
35,2020-02-05,France,6,0.01,0,0.0,0,0.0,0,0.0
36,2020-02-06,France,6,0.01,0,0.0,0,0.0,0,0.0
37,2020-02-07,France,6,0.01,0,0.0,0,0.0,0,0.0
38,2020-02-08,France,11,0.02,5,0.01,0,0.0,0,0.0
39,2020-02-09,France,11,0.02,0,0.0,0,0.0,0,0.0
40,2020-02-10,France,11,0.02,0,0.0,0,0.0,0,0.0
41,2020-02-11,France,11,0.02,0,0.0,0,0.0,0,0.0
42,2020-02-12,France,11,0.02,0,0.0,0,0.0,0,0.0
43,2020-02-13,France,11,0.02,0,0.0,0,0.0,0,0.0
44,2020-02-14,France,11,0.02,0,0.0,0,0.0,0,0.0
45,2020-02-15,France,12,0.02,1,0.0,1,0.0,1,0.0
46,2020-02-16,France,12,0.02,0,0.0,1,0.0,0,0.0
47,2020-02-17,France,12,0.02,0,0.0,1,0.0,0,0.0
48,2020-02-18,France,12,0.02,0,0.0,1,0.0,0,0.0
49,2020-02-19,France,12,0.02,0,0.0,1,0.0,0,0.0
50,2020-02-20,France,12,0.02,0,0.0,1,0.0,0,0.0
51,2020-02-21,France,12,0.02,0,0.0,1,0.0,0,0.0
52,2020-02-22,France,12,0.02,0,0.0,1,0.0,0,0.0
53,2020-02-23,France,12,0.02,0,0.0,1,0.0,0,0.0
54,2020-02-24,France,12,0.02,0,0.0,1,0.0,0,0.0
55,2020-02-25,France,14,0.02,2,0.0,1,0.0,0,0.0
56,2020-02-26,France,18,0.03,4,0.01,2,0.0,1,0.0
57,2020-02-27,France,38,0.06,20,0.03,2,0.0,0,0.0
58,2020-02-28,France,57,0.08,19,0.03,2,0.0,0,0.0
59,2020-02-29,France,100,0.15,43,0.06,2,0.0,0,0.0
60,2020-03-01,France,130,0.19,30,0.04,2,0.0,0,0.0
61,2020-03-02,France,191,0.28,61,0.09,3,0.0,1,0.0
62,2020-03-03,France,212,0.32,21,0.03,4,0.01,1,0.0
63,2020-03-04,France,288,0.43,76,0.11,4,0.01,0,0.0
64,2020-03-05,France,426,0.64,138,0.21,7,0.01,3,0.0
65,2020-03-06,France,616,0.92,190,0.28,9,0.01,2,0.0
66,2020-03-07,France,948,1.41,332,0.49,16,0.02,7,0.01
67,2020-03-08,France,1125,1.68,177,0.26,19,0.03,3,0.0
68,2020-03-09,France,1411,2.1,286,0.43,25,0.04,6,0.01
69,2020-03-10,France,1783,2.66,372,0.55,33,0.05,8,0.01
70,2020-03-11,France,2293,3.42,510,0.76,48,0.07,15,0.02
71,2020-03-12,France,2293,3.42,0,0.0,48,0.07,0,0.0
72,2020-03-13,France,3681,5.49,1388,2.07,79,0.12,31,0.05
73,2020-03-14,France,4496,6.7,815,1.22,91,0.14,12,0.02
74,2020-03-15,France,4532,6.76,36,0.05,91,0.14,0,0.0
75,2020-03-16,France,6683,9.96,2151,3.21,149,0.22,58,0.09
76,2020-03-17,France,7715,11.5,1032,1.54,149,0.22,0,0.0
77,2020-03-18,France,9124,13.6,1409,2.1,149,0.22,0,0.0
78,2020-03-19,France,10970,16.35,1846,2.75,244,0.36,95,0.14
79,2020-03-20,France,12758,19.02,1788,2.67,451,0.67,207,0.31
80,2020-03-21,France,14463,21.56,1705,2.54,563,0.84,112,0.17
81,2020-03-22,France,16758,24.98,2295,3.42,676,1.01,113,0.17
82,2020-03-23,France,20123,30.0,3365,5.02,862,1.29,186,0.28
83,2020-03-24,France,22372,33.35,2249,3.35,1102,1.64,240,0.36
84,2020-03-25,France,25334,37.77,2962,4.42,1333,1.99,231,0.34
85,2020-03-26,France,29252,43.61,3918,5.84,1697,2.53,364,0.54
86,2020-03-27,France,33047,49.27,3795,5.66,1996,2.98,299,0.45
87,2020-03-28,France,37692,56.19,4645,6.92,2314,3.45,318,0.47
88,2020-03-29,France,40295,60.07,2603,3.88,2608,3.89,294,0.44
89,2020-03-30,France,44649,66.56,4354,6.49,3026,4.51,418,0.62
90,2020-03-31,France,52278,77.94,7629,11.37,3526,5.26,500,0.75
91,2020-04-01,France,57122,85.16,4844,7.22,4778,7.12,1252,1.87
92,2020-04-02,France,59228,88.3,2106,3.14,5387,8.03,609,0.91
93,2020-04-03,France,64452,96.09,5224,7.79,6509,9.7,1122,1.67
94,2020-04-04,France,47378,70.63,-17074,-25.45,7562,11.27,1053,1.57
95,2020-04-05,France,48233,71.91,855,1.27,8081,12.05,519,0.77
96,2020-04-06,France,50887,75.86,2654,3.96,8914,13.29,833,1.24
97,2020-04-07,France,47396,70.66,-3491,-5.2,10330,15.4,1416,2.11
98,2020-04-08,France,51251,76.41,3855,5.75,10874,16.21,544,0.81
99,2020-04-09,France,55035,82.05,3784,5.64,12214,18.21,1340,2.0
100,2020-04-10,France,56600,84.38,1565,2.33,13199,19.68,985,1.47
101,2020-04-11,France,58045,86.54,1445,2.15,13835,20.63,636,0.95
102,2020-04-12,France,108791,162.19,50746,75.65,14396,21.46,561,0.84
103,2020-04-13,France,111932,166.87,3141,4.68,14969,22.32,573,0.85
104,2020-04-14,France,129380,192.89,17448,26.01,15712,23.42,743,1.11
105,2020-04-15,France,132588,197.67,3208,4.78,17150,25.57,1438,2.14
106,2020-04-16,France,145166,216.42,12578,18.75,17903,26.69,753,1.12
107,2020-04-17,France,147057,219.24,1891,2.82,18664,27.83,761,1.13
108,2020-04-18,France,150863,224.91,3806,5.67,19305,28.78,641,0.96
109,2020-04-19,France,151955,226.54,1092,1.63,19694,29.36,389,0.58
110,2020-04-20,France,154402,230.19,2447,3.65,20241,30.18,547,0.82
111,2020-04-21,France,157068,234.16,2666,3.97,20769,30.96,528,0.79
112,2020-04-22,France,158868,236.85,1800,2.68,21313,31.77,544,0.81
113,2020-04-23,France,157158,234.3,-1710,-2.55,21829,32.54,516,0.77
114,2020-04-24,France,159969,238.49,2811,4.19,22219,33.13,390,0.58
115,2020-04-25,France,161647,240.99,1678,2.5,22588,33.68,369,0.55
116,2020-04-26,France,162280,241.93,633,0.94,22830,34.04,242,0.36
117,2020-04-27,France,165966,247.43,3686,5.5,23267,34.69,437,0.65
118,2020-04-28,France,169098,252.1,3132,4.67,23634,35.23,367,0.55
119,2020-04-29,France,167643,249.93,-1455,-2.17,24060,35.87,426,0.64
120,2020-04-30,France,168861,251.75,1218,1.82,24349,36.3,289,0.43
121,2020-05-01,France,169387,252.53,526,0.78,24566,36.62,217,0.32
122,2020-05-02,France,170179,253.71,792,1.18,24763,36.92,197,0.29
123,2020-05-03,France,170540,254.25,361,0.54,24898,37.12,135,0.2
124,2020-05-04,France,171102,255.09,562,0.84,25204,37.58,306,0.46
125,2020-05-05,France,172219,256.75,1117,1.67,25537,38.07,333,0.5
126,2020-05-06,France,176355,262.92,4136,6.17,25812,38.48,275,0.41
127,2020-05-07,France,177096,264.02,741,1.1,25991,38.75,179,0.27
128,2020-05-08,France,177627,264.81,531,0.79,26233,39.11,242,0.36
129,2020-05-09,France,178156,265.6,529,0.79,26313,39.23,80,0.12
130,2020-05-10,France,178405,265.97,249,0.37,26383,39.33,70,0.1
131,2020-05-11,France,178719,266.44,314,0.47,26646,39.73,263,0.39
132,2020-05-12,France,179472,267.57,753,1.12,26994,40.24,348,0.52
133,2020-05-13,France,179993,268.34,521,0.78,27079,40.37,85,0.13
134,2020-05-14,France,180635,269.3,642,0.96,27430,40.89,351,0.52
135,2020-05-15,France,181148,270.06,513,0.76,27532,41.05,102,0.15
136,2020-05-16,France,181563,270.68,415,0.62,27630,41.19,98,0.15
137,2020-05-17,France,181703,270.89,140,0.21,28113,41.91,483,0.72
138,2020-05-18,France,182147,271.55,444,0.66,28242,42.1,129,0.19
139,2020-05-19,France,182648,272.3,501,0.75,28025,41.78,-217,-0.32
140,2020-05-20,France,183130,273.02,482,0.72,28136,41.95,111,0.17
141,2020-05-21,France,183397,273.42,267,0.4,28218,42.07,82,0.12
142,2020-05-22,France,184153,274.54,756,1.13,28366,42.29,148,0.22
143,2020-05-23,France,184699,275.36,546,0.81,28452,42.42,86,0.13
144,2020-05-24,France,184260,274.7,-439,-0.65,28372,42.3,-80,-0.12
145,2020-05-25,France,184585,275.19,325,0.48,28461,42.43,89,0.13
146,2020-05-26,France,184840,275.57,255,0.38,28598,42.64,137,0.2
147,2020-05-27,France,185012,275.82,172,0.26,28599,42.64,1,0.0
148,2020-05-28,France,188355,280.81,3343,4.98,28666,42.74,67,0.1
149,2020-05-29,France,188949,281.69,594,0.89,28717,42.81,51,0.08
150,2020-05-30,France,190744,284.37,1795,2.68,28774,42.9,57,0.08
151,2020-05-31,France,190975,284.71,231,0.34,28805,42.94,31,0.05
152,2020-06-01,France,191382,285.32,407,0.61,28837,42.99,32,0.05
153,2020-06-02,France,190735,284.36,-647,-0.96,28943,43.15,106,0.16
154,2020-06-03,France,187509,279.55,-3226,-4.81,29024,43.27,81,0.12
155,2020-06-04,France,191869,286.05,4360,6.5,29069,43.34,45,0.07
156,2020-06-05,France,192450,286.91,581,0.87,29114,43.4,45,0.07
157,2020-06-06,France,193022,287.77,572,0.85,29145,43.45,31,0.05
158,2020-06-07,France,193363,288.27,341,0.51,29158,43.47,13,0.02
159,2020-06-08,France,193637,288.68,274,0.41,29213,43.55,55,0.08
160,2020-06-09,France,194190,289.51,553,0.82,29301,43.68,88,0.13
161,2020-06-10,France,194815,290.44,625,0.93,29322,43.71,21,0.03
162,2020-06-11,France,195179,290.98,364,0.54,29349,43.75,27,0.04
163,2020-06-12,France,195981,292.18,802,1.2,29377,43.8,28,0.04
164,2020-06-13,France,196478,292.92,497,0.74,29401,43.83,24,0.04
165,2020-06-14,France,196868,293.5,390,0.58,29411,43.85,10,0.01
166,2020-06-15,France,197004,293.7,136,0.2,29439,43.89,28,0.04
167,2020-06-16,France,197667,294.69,663,0.99,29553,44.06,114,0.17
168,2020-06-17,France,198155,295.42,488,0.73,29578,44.1,25,0.04
169,2020-06-18,France,198741,296.29,586,0.87,29606,44.14,28,0.04
