,Date,Country,Confirmed,Confirmed per 100k,New Cases,New Cases per 100k,Deaths,Deaths per 100k,New Deaths,New Deaths per 100k
0,2020-01-01,Germany,0,0.0,0,0.0,0,0.0,0,0.0
1,2020-01-02,Germany,0,0.0,0,0.0,0,0.0,0,0.0
2,2020-01-03,Germany,0,0.0,0,0.0,0,0.0,0,0.0
3,2020-01-04,Germany,0,0.0,0,0.0,0,0.0,0,0.0
4,2020-01-05,Germany,0,0.0,0,0.0,0,0.0,0,0.0
5,2020-01-06,Germany,0,0.0,0,0.0,0,0.0,0,0.0
6,2020-01-07,Germany,0,0.0,0,0.0,0,0.0,0,0.0
7,2020-01-08,Germany,0,0.0,0,0.0,0,0.0,0,0.0
8,2020-01-09,Germany,0,0.0,0,0.0,0,0.0,0,0.0
9,2020-01-10,Germany,0,0.0,0,0.0,0,0.0,0,0.0
10,2020-01-11,Germany,0,0.0,0,0.0,0,0.0,0,0.0
11,2020-01-12,Germany,0,0.0,0,0.0,0,0.0,0,0.0
12,2020-01-13,Germany,0,0.0,0,0.0,0,0.0,0,0.0
13,2020-01-14,Germany,0,0.0,0,0.0,0,0.0,0,0.0
14,2020-01-15,Germany,0,0.0,0,0.0,0,0.0,0,0.0
15,2020-01-16,Germany,0,0.0,0,0.0,0,0.0,0,0.0
16,2020-01-17,Germany,0,0.0,0,0.0,0,0.0,0,0.0
17,2020-01-18,Germany,0,0.0,0,0.0,0,0.0,0,0.0
18,2020-01-19,Germany,0,0.0,0,0.0,0,0.0,0,0.0
19,2020-01-20,Germany,0,0.0,0,0.0,0,0.0,0,0.0
20,2020-01-21,Germany,0,0.0,0,0.0,0,0.0,0,0.0
21,2020-01-22,Germany,0,0.0,0,0.0,0,0.0,0,0.0
22,2020-01-23,Germany,0,0.0,0,0.0,0,0.0,0,0.0
23,2020-01-24,Germany,0,0.0,0,0.0,0,0.0,0,0.0
24,2020-01-25,Germany,0,0.0,0,0.0,0,0.0,0,0.0
25,2020-01-26,Germany,0,0.0,0,0.0,0,0.0,0,0.0
26,2020-01-27,Germany,1,0.0,1,0.0,0,0.0,0,0.0
27,2020-01-28,Germany,4,0.0,3,0.0,0,0.0,0,0.0
28,2020-01-29,Germany,4,0.0,0,0.0,0,0.0,0,0.0
29,2020-01-30,Germany,4,0.0,0,0.0,0,0.0,0,0.0
30,2020-01-31,Germany,5,0.01,1,0.0,0,0.0,0,0.0
31,2020-02-01,Germany,8,0.01,3,0.0,0,0.0,0,0.0
32,2020-02-02,Germany,10,0.01,2,0.0,0,0.0,0,0.0
33,2020-02-03,Germany,12,0.01,2,0.0,0,0.0,0,0.0
34,2020-02-04,Germany,12,0.01,0,0.0,0,0.0,0,0.0
35,2020-02-05,Germany,12,0.01,0,0.0,0,0.0,0,0.0
36,2020-02-06,Germany,12,0.01,0,0.0,0,0.0,0,0.0
37,2020-02-07,Germany,13,0.02,1,0.0,0,0.0,0,0.0
38,2020-02-08,Germany,13,0.02,0,0.0,0,0.0,0,0.0
39,2020-02-09,Germany,14,0.02,1,0.0,0,0.0,0,0.0
40,2020-02-10,Germany,14,0.02,0,0.0,0,0.0,0,0.0
41,2020-02-11,Germany,16,0.02,2,0.0,0,0.0,0,0.0
42,2020-02-12,Germany,16,0.02,0,0.0,0,0.0,0,0.0
43,2020-02-13,Germany,16,0.02,0,0.0,0,0.0,0,0.0
44,2020-02-14,Germany,16,0.02,0,0.0,0,0.0,0,0.0
45,2020-02-15,Germany,16,0.02,0,0.0,0,0.0,0,0.0
46,2020-02-16,Germany,16,0.02,0,0.0,0,0.0,0,0.0
47,2020-02-17,Germany,16,0.02,0,0.0,0,0.0,0,0.0
48,2020-02-18,Germany,16,0.02,0,0.0,0,0.0,0,0.0
49,2020-02-19,Germany,16,0.02,0,0.0,0,0.0,0,0.0
50,2020-02-20,Germany,16,0.02,0,0.0,0,0.0,0,0.0
51,2020-02-21,Germany,16,0.02,0,0.0,0,0.0,0,0.0
52,2020-02-22,Germany,16,0.02,0,0.0,0,0.0,0,0.0
53,2020-02-23,Germany,16,0.02,0,0.0,0,0.0,0,0.0
54,2020-02-24,Germany,16,0.02,0,0.0,0,0.0,0,0.0
55,2020-02-25,Germany,17,0.02,1,0.0,0,0.0,0,0.0
56,2020-02-26,Germany,27,0.03,10,0.01,0,0.0,0,0.0
57,2020-02-27,Germany,46,0.06,19,0.02,0,0.0,0,0.0
58,2020-02-28,Germany,48,0.06,2,0.0,0,0.0,0,0.0
59,2020-02-29,Germany,79,0.1,31,0.04,0,0.0,0,0.0
60,2020-03-01,Germany,130,0.16,51,0.06,0,0.0,0,0.0
61,2020-03-02,Germany,159,0.19,29,0.03,0,0.0,0,0.0
62,2020-03-03,Germany,196,0.24,37,0.04,0,0.0,0,0.0
63,2020-03-04,Germany,262,0.32,66,0.08,0,0.0,0,0.0
64,2020-03-05,Germany,482,0.58,220,0.26,0,0.0,0,0.0
65,2020-03-06,Germany,670,0.81,188,0.23,0,0.0,0,0.0
66,2020-03-07,Germany,799,0.96,129,0.16,0,0.0,0,0.0
67,2020-03-08,Germany,1040,1.25,241,0.29,0,0.0,0,0.0
68,2020-03-09,Germany,1176,1.41,136,0.16,2,0.0,2,0.0
69,2020-03-10,Germany,1457,1.75,281,0.34,2,0.0,0,0.0
70,2020-03-11,Germany,1908,2.3,451,0.54,3,0.0,1,0.0
71,2020-03-12,Germany,2078,2.5,170,0.2,3,0.0,0,0.0
72,2020-03-13,Germany,3675,4.42,1597,1.92,7,0.01,4,0.0
73,2020-03-14,Germany,4585,5.52,910,1.09,9,0.01,2,0.0
74,2020-03-15,Germany,5795,6.97,1210,1.46,11,0.01,2,0.0
75,2020-03-16,Germany,7272,8.75,1477,1.78,17,0.02,6,0.01
76,2020-03-17,Germany,9257,11.14,1985,2.39,24,0.03,7,0.01
77,2020-03-18,Germany,12327,14.83,3070,3.69,28,0.03,4,0.0
