,Date,Country,Confirmed,Confirmed per 100k,New Cases,New Cases per 100k,Deaths,Deaths per 100k,New Deaths,New Deaths per 100k
0,2020-01-01,Spain,0,0.0,0,0.0,0,0.0,0,0.0
1,2020-01-02,Spain,0,0.0,0,0.0,0,0.0,0,0.0
2,2020-01-03,Spain,0,0.0,0,0.0,0,0.0,0,0.0
3,2020-01-04,Spain,0,0.0,0,0.0,0,0.0,0,0.0
4,2020-01-05,Spain,0,0.0,0,0.0,0,0.0,0,0.0
5,2020-01-06,Spain,0,0.0,0,0.0,0,0.0,0,0.0
6,2020-01-07,Spain,0,0.0,0,0.0,0,0.0,0,0.0
7,2020-01-08,Spain,0,0.0,0,0.0,0,0.0,0,0.0
8,2020-01-09,Spain,0,0.0,0,0.0,0,0.0,0,0.0
9,2020-01-10,Spain,0,0.0,0,0.0,0,0.0,0,0.0
10,2020-01-11,Spain,0,0.0,0,0.0,0,0.0,0,0.0
11,2020-01-12,Spain,0,0.0,0,0.0,0,0.0,0,0.0
12,2020-01-13,Spain,0,0.0,0,0.0,0,0.0,0,0.0
13,2020-01-14,Spain,0,0.0,0,0.0,0,0.0,0,0.0
14,2020-01-15,Spain,0,0.0,0,0.0,0,0.0,0,0.0
15,2020-01-16,Spain,0,0.0,0,0.0,0,0.0,0,0.0
16,2020-01-17,Spain,0,0.0,0,0.0,0,0.0,0,0.0
17,2020-01-18,Spain,0,0.0,0,0.0,0,0.0,0,0.0
18,2020-01-19,Spain,0,0.0,0,0.0,0,0.0,0,0.0
19,2020-01-20,Spain,0,0.0,0,0.0,0,0.0,0,0.0
20,2020-01-21,Spain,0,0.0,0,0.0,0,0.0,0,0.0
21,2020-01-22,Spain,0,0.0,0,0.0,0,0.0,0,0.0
22,2020-01-23,Spain,0,0.0,0,0.0,0,0.0,0,0.0
23,2020-01-24,Spain,0,0.0,0,0.0,0,0.0,0,0.0
24,2020-01-25,Spain,0,0.0,0,0.0,0,0.0,0,0.0
25,2020-01-26,Spain,0,0.0,0,0.0,0,0.0,0,0.0
26,2020-01-27,Spain,0,0.0,0,0.0,0,0.0,0,0.0
27,2020-01-28,Spain,0,0.0,0,0.0,0,0.0,0,0.0
28,2020-01-29,Spain,0,0.0,0,0.0,0,0.0,0,0.0
29,2020-01-30,Spain,0,0.0,0,0.0,0,0.0,0,0.0
30,2020-01-31,Spain,0,0.0,0,0.0,0,0.0,0,0.0
31,2020-02-01,Spain,1,0.0,1,0.0,0,0.0,0,0.0
32,2020-02-02,Spain,1,0.0,0,0.0,0,0.0,0,0.0
33,2020-02-03,Spain,1,0.0,0,0.0,0,0.0,0,0.0
34,2020-02-04,Spain,1,0.0,0,0.0,0,0.0,0,0.0
35,2020-02-05,Spain,1,0.0,0,0.0,0,0.0,0,0.0
36,2020-02-06,Spain,1,0.0,0,0.0,0,0.0,0,0.0
37,2020-02-07,Spain,1,0.0,0,0.0,0,0.0,0,0.0
38,2020-02-08,Spain,1,0.0,0,0.0,0,0.0,0,0.0
39,2020-02-09,Spain,2,0.0,1,0.0,0,0.0,0,0.0
40,2020-02-10,Spain,2,0.0,0,0.0,0,0.0,0,0.0
41,2020-02-11,Spain,2,0.0,0,0.0,0,0.0,0,0.0
42,2020-02-12,Spain,2,0.0,0,0.0,0,0.0,0,0.0
43,2020-02-13,Spain,2,0.0,0,0.0,0,0.0,0,0.0
44,2020-02-14,Spain,2,0.0,0,0.0,0,0.0,0,0.0
45,2020-02-15,Spain,2,0.0,0,0.0,0,0.0,0,0.0
46,2020-02-16,Spain,2,0.0,0,0.0,0,0.0,0,0.0
47,2020-02-17,Spain,2,0.0,0,0.0,0,0.0,0,0.0
48,2020-02-18,Spain,2,0.0,0,0.0,0,0.0,0,0.0
49,2020-02-19,Spain,2,0.0,0,0.0,0,0.0,0,0.0
50,2020-02-20,Spain,2,0.0,0,0.0,0,0.0,0,0.0
51,2020-02-21,Spain,2,0.0,0,0.0,0,0.0,0,0.0
52,2020-02-22,Spain,2,0.0,0,0.0,0,0.0,0,0.0
53,2020-02-23,Spain,2,0.0,0,0.0,0,0.0,0,0.0
54,2020-02-24,Spain,2,0.0,0,0.0,0,0.0,0,0.0
55,2020-02-25,Spain,6,0.01,4,0.01,0,0.0,0,0.0
56,2020-02-26,Spain,13,0.03,7,0.01,0,0.0,0,0.0
57,2020-02-27,Spain,15,0.03,2,0.0,0,0.0,0,0.0
58,2020-02-28,Spain,32,0.07,17,0.04,0,0.0,0,0.0
59,2020-02-29,Spain,45,0.1,13,0.03,0,0.0,0,0.0
60,2020-03-01,Spain,84,0.18,39,0.08,0,0.0,0,0.0
61,2020-03-02,Spain,120,0.26,36,0.08,0,0.0,0,0.0
62,2020-03-03,Spain,165,0.35,45,0.1,1,0.0,1,0.0
63,2020-03-04,Spain,222,0.48,57,0.12,2,0.0,1,0.0
64,2020-03-05,Spain,259,0.55,37,0.08,3,0.01,1,0.0
65,2020-03-06,Spain,400,0.86,141,0.3,5,0.01,2,0.0
66,2020-03-07,Spain,500,1.07,100,0.21,10,0.02,5,0.01
67,2020-03-08,Spain,673,1.44,173,0.37,17,0.04,7,0.01
68,2020-03-09,Spain,1073,2.3,400,0.86,28,0.06,11,0.02
69,2020-03-10,Spain,1695,3.63,622,1.33,35,0.07,7,0.01
70,2020-03-11,Spain,2277,4.87,582,1.25,54,0.12,19,0.04
71,2020-03-12,Spain,2277,4.87,0,0.0,55,0.12,1,0.0
72,2020-03-13,Spain,5232,11.2,2955,6.32,133,0.28,78,0.17
73,2020-03-14,Spain,6391,13.68,1159,2.48,195,0.42,62,0.13
74,2020-03-15,Spain,7798,16.69,1407,3.01,289,0.62,94,0.2
75,2020-03-16,Spain,9942,21.27,2144,4.59,342,0.73,53,0.11
76,2020-03-17,Spain,11748,25.14,1806,3.86,533,1.14,191,0.41
77,2020-03-18,Spain,13910,29.76,2162,4.63,623,1.33,90,0.19
78,2020-03-19,Spain,17963,38.44,4053,8.67,830,1.78,207,0.44
79,2020-03-20,Spain,20410,43.67,2447,5.24,1043,2.23,213,0.46
80,2020-03-21,Spain,25374,54.3,4964,10.62,1375,2.94,332,0.71
81,2020-03-22,Spain,28768,61.56,3394,7.26,1772,3.79,397,0.85
82,2020-03-23,Spain,35136,75.18,6368,13.63,2311,4.95,539,1.15
83,2020-03-24,Spain,39885,85.35,4749,10.16,2808,6.01,497,1.06
84,2020-03-25,Spain,49515,105.95,9630,20.61,3647,7.8,839,1.8
85,2020-03-26,Spain,57786,123.65,8271,17.7,4365,9.34,718,1.54
86,2020-03-27,Spain,65719,140.63,7933,16.98,5138,10.99,773,1.65
87,2020-03-28,Spain,73235,156.71,7516,16.08,5982,12.8,844,1.81
