,Date,Country,Confirmed,Confirmed per 100k,New Cases,New Cases per 100k,Deaths,Deaths per 100k,New Deaths,New Deaths per 100k
0,2020-01-01,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
1,2020-01-02,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
2,2020-01-03,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
3,2020-01-04,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
4,2020-01-05,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
5,2020-01-06,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
6,2020-01-07,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
7,2020-01-08,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
8,2020-01-09,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
9,2020-01-10,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
10,2020-01-11,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
11,2020-01-12,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
12,2020-01-13,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
13,2020-01-14,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
14,2020-01-15,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
15,2020-01-16,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
16,2020-01-17,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
17,2020-01-18,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
18,2020-01-19,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
19,2020-01-20,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
20,2020-01-21,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
21,2020-01-22,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
22,2020-01-23,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
23,2020-01-24,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
24,2020-01-25,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
25,2020-01-26,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
26,2020-01-27,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
27,2020-01-28,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
28,2020-01-29,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
29,2020-01-30,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
30,2020-01-31,Sweden,0,0.0,0,0.0,0,0.0,0,0.0
31,2020-02-01,Sweden,1,0.01,1,0.01,0,0.0,0,0.0
32,2020-02-02,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
33,2020-02-03,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
34,2020-02-04,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
35,2020-02-05,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
36,2020-02-06,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
37,2020-02-07,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
38,2020-02-08,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
39,2020-02-09,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
40,2020-02-10,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
41,2020-02-11,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
42,2020-02-12,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
43,2020-02-13,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
44,2020-02-14,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
45,2020-02-15,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
46,2020-02-16,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
47,2020-02-17,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
48,2020-02-18,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
49,2020-02-19,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
50,2020-02-20,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
51,2020-02-21,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
52,2020-02-22,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
53,2020-02-23,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
54,2020-02-24,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
55,2020-02-25,Sweden,1,0.01,0,0.0,0,0.0,0,0.0
56,2020-02-26,Sweden,2,0.02,1,0.01,0,0.0,0,0.0
57,2020-02-27,Sweden,3,0.03,1,0.01,0,0.0,0,0.0
58,2020-02-28,Sweden,11,0.11,8,0.08,0,0.0,0,0.0
59,2020-02-29,Sweden,14,0.14,3,0.03,0,0.0,0,0.0
60,2020-03-01,Sweden,14,0.14,0,0.0,0,0.0,0,0.0
61,2020-03-02,Sweden,19,0.18,5,0.05,0,0.0,0,0.0
62,2020-03-03,Sweden,32,0.31,13,0.13,0,0.0,0,0.0
63,2020-03-04,Sweden,62,0.6,30,0.29,0,0.0,0,0.0
64,2020-03-05,Sweden,87,0.84,25,0.24,0,0.0,0,0.0
65,2020-03-06,Sweden,146,1.41,59,0.57,0,0.0,0,0.0
66,2020-03-07,Sweden,179,1.73,33,0.32,0,0.0,0,0.0
67,2020-03-08,Sweden,225,2.18,46,0.45,0,0.0,0,0.0
68,2020-03-09,Sweden,326,3.16,101,0.98,0,0.0,0,0.0
69,2020-03-10,Sweden,424,4.11,98,0.95,1,0.01,1,0.01
70,2020-03-11,Sweden,620,6.01,196,1.9,1,0.01,0,0.0
71,2020-03-12,Sweden,771,7.47,151,1.46,2,0.02,1,0.01
72,2020-03-13,Sweden,923,8.94,152,1.47,3,0.03,1,0.01
73,2020-03-14,Sweden,994,9.63,71,0.69,5,0.05,2,0.02
74,2020-03-15,Sweden,1063,10.3,69,0.67,7,0.07,2,0.02
75,2020-03-16,Sweden,1146,11.11,83,0.8,8,0.08,1,0.01
76,2020-03-17,Sweden,1265,12.26,119,1.15,14,0.14,6,0.06
77,2020-03-18,Sweden,1410,13.66,145,1.41,21,0.2,7,0.07
78,2020-03-19,Sweden,1553,15.05,143,1.39,30,0.29,9,0.09
79,2020-03-20,Sweden,1733,16.79,180,1.74,38,0.37,8,0.08
80,2020-03-21,Sweden,1868,18.1,135,1.31,49,0.47,11,0.11
81,2020-03-22,Sweden,1986,19.24,118,1.14,60,0.58,11,0.11
82,2020-03-23,Sweden,2168,21.01,182,1.76,81,0.78,21,0.2
83,2020-03-24,Sweden,2398,23.24,230,2.23,103,1.0,22,0.21
84,2020-03-25,Sweden,2712,26.28,314,3.04,134,1.3,31,0.3
85,2020-03-26,Sweden,2998,29.05,286,2.77,166,1.61,32,0.31
86,2020-03-27,Sweden,3363,32.59,365,3.54,201,1.95,35,0.34
87,2020-03-28,Sweden,3663,35.5,300,2.91,239,2.32,38,0.37
88,2020-03-29,Sweden,3943,38.21,280,2.71,284,2.75,45,0.44
89,2020-03-30,Sweden,4359,42.24,416,4.03,332,3.22,48,0.47
90,2020-03-31,Sweden,4834,46.84,475,4.6,385,3.73,53,0.51
91,2020-04-01,Sweden,5320,51.55,486,4.71,455,4.41,70,0.68
92,2020-04-02,Sweden,5874,56.92,554,5.37,535,5.18,80,0.78
93,2020-04-03,Sweden,6475,62.74,601,5.82,605,5.86,70,0.68
94,2020-04-04,Sweden,6832,66.2,357,3.46,373,3.61,-232,-2.25
95,2020-04-05,Sweden,7172,69.5,340,3.29,401,3.89,28,0.27
96,2020-04-06,Sweden,7561,73.27,389,3.77,477,4.62,76,0.74
97,2020-04-07,Sweden,8299,80.42,738,7.15,591,5.73,114,1.1
98,2020-04-08,Sweden,8954,86.77,655,6.35,687,6.66,96,0.93
99,2020-04-09,Sweden,9599,93.02,645,6.25,793,7.68,106,1.03
100,2020-04-10,Sweden,10053,97.42,454,4.4,870,8.43,77,0.75
101,2020-04-11,Sweden,10448,101.24,395,3.83,887,8.6,17,0.16
102,2020-04-12,Sweden,10912,105.74,464,4.5,899,8.71,12,0.12
103,2020-04-13,Sweden,11349,109.98,437,4.23,919,8.91,20,0.19
104,2020-04-14,Sweden,11828,114.62,479,4.64,1033,10.01,114,1.1
105,2020-04-15,Sweden,12432,120.47,604,5.85,1203,11.66,170,1.65
106,2020-04-16,Sweden,13055,126.51,623,6.04,1333,12.92,130,1.26
107,2020-04-17,Sweden,13743,133.17,688,6.67,1400,13.57,67,0.65
108,2020-04-18,Sweden,14275,138.33,532,5.16,1511,14.64,111,1.08
109,2020-04-19,Sweden,14663,142.09,388,3.76,1540,14.92,29,0.28
110,2020-04-20,Sweden,15124,146.56,461,4.47,1580,15.31,40,0.39
111,2020-04-21,Sweden,15831,153.41,707,6.85,1765,17.1,185,1.79
112,2020-04-22,Sweden,16553,160.4,722,7.0,1937,18.77,172,1.67
113,2020-04-23,Sweden,17311,167.75,758,7.35,2021,19.58,84,0.81
114,2020-04-24,Sweden,18090,175.3,779,7.55,2152,20.85,131,1.27
115,2020-04-25,Sweden,18563,179.88,473,4.58,2192,21.24,40,0.39
116,2020-04-26,Sweden,18863,182.79,300,2.91,2194,21.26,2,0.02
117,2020-04-27,Sweden,19426,188.24,563,5.46,2274,22.04,80,0.78
118,2020-04-28,Sweden,20168,195.43,742,7.19,2355,22.82,81,0.78
119,2020-04-29,Sweden,20966,203.17,798,7.73,2462,23.86,107,1.04
120,2020-04-30,Sweden,21601,209.32,635,6.15,2586,25.06,124,1.2
121,2020-05-01,Sweden,22133,214.48,532,5.16,2653,25.71,67,0.65
122,2020-05-02,Sweden,22432,217.37,299,2.9,2669,25.86,16,0.16
123,2020-05-03,Sweden,22693,219.9,261,2.53,2679,25.96,10,0.1
124,2020-05-04,Sweden,23169,224.51,476,4.61,2769,26.83,90,0.87
125,2020-05-05,Sweden,23826,230.88,657,6.37,2854,27.66,85,0.82
126,2020-05-06,Sweden,24572,238.11,746,7.23,2941,28.5,87,0.84
127,2020-05-07,Sweden,25359,245.74,787,7.63,3040,29.46,99,0.96
128,2020-05-08,Sweden,26059,252.52,700,6.78,3175,30.77,135,1.31
129,2020-05-09,Sweden,26568,257.45,509,4.93,3220,31.2,45,0.44
130,2020-05-10,Sweden,26846,260.15,278,2.69,3225,31.25,5,0.05
131,2020-05-11,Sweden,27301,264.55,455,4.41,3256,31.55,31,0.3
132,2020-05-12,Sweden,28055,271.86,754,7.31,3313,32.1,57,0.55
133,2020-05-13,Sweden,28755,278.64,700,6.78,3460,33.53,147,1.42
134,2020-05-14,Sweden,29415,285.04,660,6.4,3529,34.2,69,0.67
135,2020-05-15,Sweden,30103,291.71,688,6.67,3646,35.33,117,1.13
136,2020-05-16,Sweden,30461,295.18,358,3.47,3674,35.6,28,0.27
137,2020-05-17,Sweden,30720,297.69,259,2.51,3679,35.65,5,0.05
138,2020-05-18,Sweden,31151,301.86,431,4.18,3698,35.83,19,0.18
139,2020-05-19,Sweden,31818,308.33,667,6.46,3743,36.27,45,0.44
140,2020-05-20,Sweden,32626,316.16,808,7.83,3831,37.12,88,0.85
141,2020-05-21,Sweden,33236,322.07,610,5.91,3871,37.51,40,0.39
142,2020-05-22,Sweden,33768,327.22,532,5.16,3925,38.03,54,0.52
143,2020-05-23,Sweden,34171,331.13,403,3.91,3992,38.68,67,0.65
144,2020-05-24,Sweden,34381,333.16,210,2.03,3998,38.74,6,0.06
145,2020-05-25,Sweden,34871,337.91,490,4.75,4029,39.04,31,0.3
146,2020-05-26,Sweden,35617,345.14,746,7.23,4125,39.97,96,0.93
147,2020-05-27,Sweden,36417,352.89,800,7.75,4220,40.89,95,0.92
148,2020-05-28,Sweden,37191,360.39,774,7.5,4266,41.34,46,0.45
149,2020-05-29,Sweden,37964,367.88,773,7.49,4350,42.15,84,0.81
150,2020-05-30,Sweden,38396,372.07,432,4.19,4395,42.59,45,0.44
151,2020-05-31,Sweden,38661,374.64,265,2.57,4395,42.59,0,0.0
152,2020-06-01,Sweden,39309,380.92,648,6.28,4403,42.67,8,0.08
153,2020-06-02,Sweden,40210,389.65,901,8.73,4468,43.3,65,0.63
154,2020-06-03,Sweden,41256,399.78,1046,10.14,4542,44.01,74,0.72
155,2020-06-04,Sweden,42295,409.85,1039,10.07,4562,44.21,20,0.19
156,2020-06-05,Sweden,43441,420.96,1146,11.11,4639,44.95,77,0.75
157,2020-06-06,Sweden,44224,428.54,783,7.59,4656,45.12,17,0.16
158,2020-06-07,Sweden,44686,433.02,462,4.48,4659,45.15,3,0.03
159,2020-06-08,Sweden,45363,439.58,677,6.56,4694,45.49,35,0.34
160,2020-06-09,Sweden,46299,448.65,936,9.07,4717,45.71,23,0.22
161,2020-06-10,Sweden,47736,462.58,1437,13.92,4795,46.46,78,0.76
162,2020-06-11,Sweden,49030,475.12,1294,12.54,4814,46.65,19,0.18
163,2020-06-12,Sweden,50367,488.07,1337,12.96,4854,47.04,40,0.39
164,2020-06-13,Sweden,51409,498.17,1042,10.1,4874,47.23,20,0.19
165,2020-06-14,Sweden,51827,502.22,418,4.05,4874,47.23,0,0.0
166,2020-06-15,Sweden,52511,508.85,684,6.63,4891,47.4,17,0.16
167,2020-06-16,Sweden,53729,520.65,1218,11.8,4939,47.86,48,0.47
168,2020-06-17,Sweden,55186,534.77,1457,14.12,5041,48.85,102,0.99
169,2020-06-18,Sweden,56682,549.27,1496,14.5,5053,48.97,12,0.12
170,2020-06-19,Sweden,57895,561.02,1213,11.75,5053,48.97,0,0.0
171,2020-06-20,Sweden,58597,567.82,702,6.8,5053,48.97,0,0.0
172,2020-06-21,Sweden,58918,570.93,321,3.11,5053,48.97,0,0.0
173,2020-06-22,Sweden,59718,578.69,800,7.75,5053,48.97,0,0.0
174,2020-06-23,Sweden,61030,591.4,1312,12.71,5161,50.01,108,1.05
175,2020-06-24,Sweden,62728,607.85,1698,16.45,5209,50.48,48,0.47
176,2020-06-25,Sweden,64009,620.27,1281,12.41,5230,50.68,21,0.2
177,2020-06-26,Sweden,65212,631.92,1203,11.66,5280,51.16,50,0.48
178,2020-06-27,Sweden,65972,639.29,760,7.36,5280,51.16,0,0.0
179,2020-06-28,Sweden,66392,643.36,420,4.07,5280,51.16,0,0.0
180,2020-06-29,Sweden,67119,650.4,727,7.04,5280,51.16,0,0.0
181,2020-06-30,Sweden,67924,658.2,805,7.8,5333,51.68,53,0.51
182,2020-07-01,Sweden,68608,664.83,684,6.63,5370,52.04,37,0.36
183,2020-07-02,Sweden,69297,671.51,689,6.68,5411,52.43,41,0.4
184,2020-07-03,Sweden,69996,678.28,699,6.77,5420,52.52,9,0.09
185,2020-07-04,Sweden,70366,681.87,370,3.59,5420,52.52,0,0.0
186,2020-07-05,Sweden,70681,684.92,315,3.05,5420,52.52,0,0.0
187,2020-07-06,Sweden,70932,687.35,251,2.43,5420,52.52,0,0.0
188,2020-07-07,Sweden,71210,690.05,278,2.69,5447,52.78,27,0.26
