,Date,Country,Confirmed,Confirmed per 100k,New Cases,New Cases per 100k,Deaths,Deaths per 100k,New Deaths,New Deaths per 100k
0,2020-01-01,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-02,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2020-01-03,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-04,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2020-01-05,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2020-01-06,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-07,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2020-01-08,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-09,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2020-01-10,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2020-01-11,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-01-12,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-01-13,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-01-14,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-01-15,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-01-16,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-01-17,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-01-18,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-01-19,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-01-20,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-01-21,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-01-22,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-01-23,European Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-01-24,European Union,0.3,0.0,0.3,0.0,0.0,0.0,0.0,0.0
24,2020-01-25,European Union,0.45,0.0,0.15,0.0,0.0,0.0,0.0,0.0
25,2020-01-26,European Union,0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-01-27,European Union,0.64,0.0,0.19,0.0,0.0,0.0,0.0,0.0
27,2020-01-28,European Union,1.34,0.0,0.71,0.0,0.0,0.0,0.0,0.0
28,2020-01-29,European Union,1.5,0.0,0.16,0.0,0.0,0.0,0.0,0.0
29,2020-01-30,European Union,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-01-31,European Union,1.96,0.0,0.46,0.0,0.0,0.0,0.0,0.0
31,2020-02-01,European Union,2.79,0.0,0.83,0.0,0.0,0.0,0.0,0.0
32,2020-02-02,European Union,3.17,0.0,0.37,0.0,0.0,0.0,0.0,0.0
33,2020-02-03,European Union,3.54,0.0,0.37,0.0,0.0,0.0,0.0,0.0
34,2020-02-04,European Union,3.56,0.0,0.03,0.0,0.0,0.0,0.0,0.0
35,2020-02-05,European Union,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,2020-02-06,European Union,3.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,2020-02-07,European Union,3.88,0.01,0.32,0.0,0.0,0.0,0.0,0.0
38,2020-02-08,European Union,4.63,0.01,0.75,0.0,0.0,0.0,0.0,0.0
39,2020-02-09,European Union,4.92,0.01,0.29,0.0,0.0,0.0,0.0,0.0
40,2020-02-10,European Union,4.92,0.01,0.0,0.0,0.0,0.0,0.0,0.0
41,2020-02-11,European Union,5.29,0.01,0.37,0.0,0.0,0.0,0.0,0.0
42,2020-02-12,European Union,5.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0
43,2020-02-13,European Union,5.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0
44,2020-02-14,European Union,5.29,0.01,0.0,0.0,0.0,0.0,0.0,0.0
45,2020-02-15,European Union,5.44,0.01,0.15,0.0,0.15,0.0,0.15,0.0
46,2020-02-16,European Union,5.44,0.01,0.0,0.0,0.15,0.0,0.0,0.0
47,2020-02-17,European Union,5.44,0.01,0.0,0.0,0.15,0.0,0.0,0.0
48,2020-02-18,European Union,5.44,0.01,0.0,0.0,0.15,0.0,0.0,0.0
49,2020-02-19,European Union,5.44,0.01,0.0,0.0,0.15,0.0,0.0,0.0
50,2020-02-20,European Union,5.44,0.01,0.0,0.0,0.15,0.0,0.0,0.0
51,2020-02-21,European Union,7.74,0.01,2.29,0.0,0.28,0.0,0.13,0.0
52,2020-02-22,European Union,13.4,0.02,5.67,0.01,0.42,0.0,0.13,0.0
53,2020-02-23,European Union,25.95,0.04,12.54,0.02,0.55,0.0,0.13,0.0
54,2020-02-24,European Union,35.93,0.06,9.98,0.02,1.09,0.0,0.54,0.0
55,2020-02-25,European Union,49.42,0.08,13.5,0.02,1.5,0.0,0.4,0.0
56,2020-02-26,European Union,70.4,0.12,20.98,0.04,1.92,0.0,0.42,0.0
57,2020-02-27,European Union,104.53,0.17,34.13,0.05,2.59,0.0,0.67,0.0
58,2020-02-28,European Union,141.26,0.24,36.73,0.06,3.13,0.0,0.54,0.0
59,2020-02-29,European Union,187.64,0.32,46.38,0.08,4.21,0.01,1.08,0.0
60,2020-03-01,European Union,282.5,0.47,94.86,0.16,4.89,0.01,0.67,0.0
61,2020-03-02,European Union,347.62,0.58,65.12,0.11,7.46,0.01,2.58,0.0
62,2020-03-03,European Union,426.01,0.72,78.4,0.13,11.36,0.02,3.9,0.01
63,2020-03-04,European Union,536.91,0.91,110.9,0.19,15.24,0.03,3.88,0.01
64,2020-03-05,European Union,710.1,1.2,173.19,0.29,21.32,0.04,6.08,0.01
65,2020-03-06,European Union,899.54,1.55,189.44,0.35,28.48,0.05,7.16,0.01
66,2020-03-07,European Union,1157.23,2.0,257.7,0.45,34.91,0.06,6.43,0.01
67,2020-03-08,European Union,1455.56,2.53,298.33,0.53,54.11,0.09,19.2,0.03
68,2020-03-09,European Union,1815.16,3.18,359.6,0.65,69.61,0.12,15.5,0.03
69,2020-03-10,European Union,2130.62,3.8,315.46,0.62,94.26,0.16,24.65,0.04
70,2020-03-11,European Union,2681.73,4.84,551.12,1.04,125.28,0.21,31.02,0.05
71,2020-03-12,European Union,3079.75,5.57,398.01,0.73,151.01,0.25,25.73,0.04
72,2020-03-13,European Union,4274.98,7.84,1195.23,2.27,198.56,0.34,47.55,0.08
73,2020-03-14,European Union,5183.39,9.49,908.41,1.65,231.13,0.4,32.57,0.06
74,2020-03-15,European Union,6071.08,11.14,887.69,1.64,291.37,0.5,60.24,0.11
75,2020-03-16,European Union,7359.18,13.41,1288.1,2.27,354.12,0.61,62.75,0.11
76,2020-03-17,European Union,8587.72,15.65,1228.54,2.23,423.05,0.74,68.92,0.13
77,2020-03-18,European Union,10201.55,18.43,1613.83,2.79,498.16,0.87,75.11,0.13
78,2020-03-19,European Union,12238.29,22.19,2036.74,3.76,595.84,1.05,97.68,0.18
